city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
San Miguel de Allende,uberX,completed,2022-07-17T20:22:06.000Z,2022-07-17T20:36:15.000Z,20.914816,-100.749,,2022-07-17T21:01:40.000Z,20.91481,-100.74896,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",5.26,Mexican Peso,71.24
San Miguel de Allende,uberX,completed,2022-07-10T00:16:51.000Z,2022-07-10T00:38:20.000Z,20.91483,-100.74904,,2022-07-10T00:47:09.000Z,20.92804,-100.74679,"C. Angela Peralta 17, Mexiquito, 37717 San Miguel de Allende, Gto., México",1.19,Mexican Peso,51.7
San Miguel de Allende,uberX,completed,2022-07-09T18:45:56.000Z,2022-07-09T18:59:58.000Z,20.915897,-100.74815,,2022-07-09T19:24:01.000Z,20.917557,-100.74839,"Calle Insurgentes 4, 37730 San Miguel de Allende, Guanajuato",3.26,Mexican Peso,90.71
San Miguel de Allende,uberX,completed,2022-07-06T23:22:52.000Z,2022-07-06T23:24:35.000Z,20.904055,-100.727844,,2022-07-06T23:46:05.000Z,20.928185,-100.74612,"C. Angela Peralta 17, Mexiquito, 37717 San Miguel de Allende, Gto., México",3.19,Mexican Peso,62.39
San Miguel de Allende,uberX,completed,2022-06-26T00:56:33.000Z,2022-06-26T01:04:17.000Z,20.914865,-100.74891,,2022-06-26T01:22:28.000Z,20.917234,-100.74961,"Calle Juan Umarán 3, 37730 San Miguel de Allende, Guanajuato",3.28,Mexican Peso,72.49
San Miguel de Allende,uberX,unfulfilled,2022-06-26T00:42:57.000Z,,,,,,,,"Calle Juan Umarán 3, 37730 San Miguel de Allende, Guanajuato",0.0,Mexican Peso,0.0
San Miguel de Allende,uberX,completed,2022-06-25T19:30:06.000Z,2022-06-25T19:49:20.000Z,20.914854,-100.748955,,2022-06-25T20:17:44.000Z,20.91484,-100.74984,"Indio Triste, 37700 San Miguel de Allende",3.8,Mexican Peso,85.2
San Miguel de Allende,uberX,rider_canceled,2022-06-20T03:34:47.000Z,,,,,,,,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",0.0,Mexican Peso,0.0
San Miguel de Allende,uberX,rider_canceled,2022-06-20T03:32:54.000Z,,,,,,,,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",0.0,Mexican Peso,0.0
San Miguel de Allende,uberX,completed,2022-06-17T19:21:14.000Z,2022-06-17T19:42:45.000Z,20.914865,-100.74887,,2022-06-17T21:18:22.000Z,20.577219,-100.359184,"Unnamed Road, Terminal de Autobuses, 76063 Santiago de Querétaro, Qro., México",43.32,Mexican Peso,677.69
San Miguel de Allende,uberX,completed,2022-06-14T23:51:37.000Z,2022-06-15T00:08:43.000Z,20.909788,-100.74343,,2022-06-15T00:33:33.000Z,20.91767,-100.74942,"Avenida Guadalupe 44A, 37730 San Miguel de Allende, Guanajuato",2.95,Mexican Peso,85.05
San Miguel de Allende,uberX,completed,2022-06-12T00:57:10.000Z,2022-06-12T01:03:30.000Z,20.914852,-100.74893,,2022-06-12T01:29:01.000Z,20.91484,-100.748886,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",3.85,Mexican Peso,60.84
San Miguel de Allende,uberX,completed,2022-06-11T19:33:08.000Z,2022-06-11T19:40:32.000Z,20.914404,-100.74522,,2022-06-11T20:03:28.000Z,20.91435,-100.74929,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",2.82,Mexican Peso,99.95
Salamanca,uberX,completed,2022-06-05T23:59:29.000Z,2022-06-06T00:08:33.000Z,20.543228,-101.205956,,2022-06-06T00:11:35.000Z,20.539982,-101.20582,"Felipe Carvajal 105, Humanista 1, Salamanca, Gto., México",0.58,Mexican Peso,49.0
San Miguel de Allende,uberX,completed,2022-06-04T02:34:32.000Z,2022-06-04T02:45:59.000Z,20.914871,-100.75882,,2022-06-04T02:50:03.000Z,20.914862,-100.748985,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",0.66,Mexican Peso,56.0
Salamanca,uberX,completed,2022-06-03T23:10:23.000Z,2022-06-03T23:25:36.000Z,20.539541,-101.205894,,2022-06-03T23:32:01.000Z,20.543196,-101.20611,"Av Valle de Santiago 2606, Col Predio de la Luz Salamanca, 36780 Salamanca, Guanajuato",0.76,Mexican Peso,33.0
Salamanca,uberX,completed,2022-05-23T00:01:52.000Z,2022-05-23T00:13:58.000Z,20.543148,-101.20504,,2022-05-23T00:16:50.000Z,20.53957,-101.20564,"Calle Francisco Mayagoitia Olmos 104, 36784 Salamanca, Guanajuato",0.48,Mexican Peso,45.0
San Miguel de Allende,uberX,completed,2022-05-22T00:57:31.000Z,2022-05-22T01:03:38.000Z,20.914837,-100.748856,,2022-05-22T01:25:25.000Z,20.914845,-100.74975,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",6.46,Mexican Peso,87.53
